step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:
376,109.096,0.6469,-0.0989232,9.9247,0.1
377,109.521,0.6519,-0.100989,9.9362,0.1
378,109.953,0.6572,-0.101968,9.9515,0.1
379,110.388,0.66,-0.101578,9.9628,0.1
380,110.825,0.6608,-0.101188,9.9665,0.1
381,111.265,0.663,-0.1023,9.9927,0.1
382,111.703,0.6624,-0.101451,10.0038,0.1
383,112.142,0.662,-0.101822,10.0074,0.1
384,112.578,0.6609,-0.101762,10.0148,0.1
385,113.011,0.6574,-0.100781,10.0294,0.1
386,113.438,0.6537,-0.100658,10.0403,0.1
387,113.859,0.649,-0.100112,10.0511,0.1
388,114.271,0.6415,-0.0985631,10.0654,0.1
389,114.673,0.6347,-0.0984805,10.0761,0.1
390,115.067,0.6271,-0.097714,10.0867,0.1
391,115.449,0.6185,-0.0967633,10.0973,0.1
392,115.816,0.6058,-0.0941562,10.1112,0.1
393,116.179,0.6024,-0.0978374,10.1147,0.1
394,116.529,0.5916,-0.0940932,10.1252,0.1
395,116.87,0.5839,-0.0948551,10.132,0.1
396,117.197,0.5717,-0.092121,10.1423,0.1
397,117.514,0.563,-0.0929325,10.1491,0.1
398,117.826,0.5586,-0.0944918,10.1525,0.1
399,118.128,0.5494,-0.0919265,10.1593,0.1
400,118.414,0.5349,-0.0886239,10.1694,0.1
401,118.695,0.5299,-0.0921889,10.1727,0.1
402,118.959,0.5144,-0.0866961,10.1828,0.1
403,119.213,0.5036,-0.0877479,10.1894,0.1
404,119.45,0.4867,-0.0838612,10.1994,0.1
405,119.681,0.481,-0.0880117,10.2027,0.1
406,119.896,0.4632,-0.0816233,10.2126,0.1
407,120.093,0.4447,-0.0797157,10.2223,0.1
408,120.28,0.4319,-0.0809316,10.2288,0.1
409,120.461,0.4254,-0.0830143,10.2321,0.1
410,120.636,0.4189,-0.0825738,10.2353,0.1
411,120.806,0.4122,-0.0820299,10.2386,0.1
412,120.938,0.3635,-0.0605416,10.2609,0.1
